chr1	start1	end1	chr2	start2	end2	CTCF_WT_10K.P2P_ChIPCov1	CTCF_WT_10K.P2P_ChIPCov2	CTCF_IKDN_10K.P2P_ChIPCov1	CTCF_IKDN_10K.P2P_ChIPCov2	Bin1_Label	Bin2_Label	CTCF_WT_10K.P2P_R1_RawCC	CTCF_WT_10K.P2P_R1_QVal	CTCF_WT_10K.P2P_R2_RawCC	CTCF_WT_10K.P2P_R2_QVal	CTCF_IKDN_10K.P2P_R1_RawCC	CTCF_IKDN_10K.P2P_R1_QVal	CTCF_IKDN_10K.P2P_R2_RawCC	CTCF_IKDN_10K.P2P_R2_QVal	logFC	logCPM	pvalue	FDR	FDR_IHW	CTCF_WT_10K.P2P_SigRepl	CTCF_IKDN_10K.P2P_SigRepl	Label_Anch1	Gene_Anch1	PromType_Anch1	EnhType_Anch1	Label_Anch2	Gene_Anch2	PromType_Anch2	EnhType_Anch2	CTCF_WT_851_7001_OE	CTCF_D0_OE	CTCF_D3_OE	CTCF_D12_OE	CTCF_IKDN_852_7002_OE
chr11	79690000	79700000	chr11	79790000	79800000	227.5	246.5	265.5	397.5	LD	ND	9	1	19	0.994929231029963	48	1.762192685852e-05	30	0.354080028802831	-1.59921690310397	0.620357643319667	0.00059851653723345	0.048558963815231	0.0205418749022795	0	1	S				E			Active_CTCF_pos	2.01250004768372	2.73650765419006	3.03179717063904	5.70305061340332	4.90848779678345
chr11	79700000	79710000	chr11	79790000	79800000	445.5	246.5	465.5	397.5	LD	ND	55	0.00027197571654589	59	2.598995943961e-05	139	0	91	1.3920954e-10	-1.12539064435744	2.24689975583627	1.318564979637e-05	0.00212663977080215	0.00095307479330016	2	2	P	Gm11205	CTCF_pos		E			Active_CTCF_pos	7.61595821380615	10.4335918426514	13.8238544464111	10.6448516845703	13.3385257720947
chr11	79710000	79720000	chr11	79760000	79770000	468.5	59.5	657.5	87	LD	LD	0	1	39	0.196636619453091	68	0.00033743430301101	44	0.304503926889072	-1.67740181439792	1.09305638075479	1.767568763813e-05	0.00274902116417812	0.00120097337589757	0	1	P	Mir193a	CTCF_pos		S				2.89915657043457	3.96651864051819	2.4975860118866	3.21088027954102	4.72050189971924
chr11	79710000	79720000	chr11	79790000	79800000	468.5	246.5	657.5	397.5	LD	ND	77	3.161945e-11	49	0.0110677105736599	210	0	136	0	-1.55617737094194	2.70590704135028	6.74136e-12	4.72552422e-09	2.12111773e-09	1	2	P	Mir193a	CTCF_pos		E			Active_CTCF_pos	7.77397298812866	9.22836494445801	10.3808317184448	11.6187801361084	19.9948635101318
chr11	79710000	79720000	chr11	79800000	79810000	468.5	95	657.5	185.5	LD	ND	32	0.0396046943564922	26	0.373881344236726	90	1.257e-14	66	2.292293024e-08	-1.52716321369672	1.58689468070124	2.2578995914e-06	0.00046847967591506	0.00020474157857034	0	2	P	Mir193a	CTCF_pos		P	9130204K15Rik	CTCF_pos		3.87478566169739	4.28936529159546	7.94136333465576	5.9813928604126	9.5275182723999
chr11	79710000	79720000	chr11	79880000	79890000	468.5	120	657.5	178.5	LD	ND	26	0.0089833701298996	38	2.9293409173e-07	78	0	67	0	-1.29082773061834	1.54264253185601	7.382684258456e-05	0.00901251370868825	0.00395019225574979	2	2	P	Mir193a	CTCF_pos		S				6.82558488845825	11.3036851882935	10.0527324676514	12.1719245910645	15.3243541717529
chr11	79730000	79740000	chr11	79790000	79800000	80	246.5	123.5	397.5	ND	ND	0	1	0	1	40	0.0022316308217768	30	0.287573002711604	-8.1957326701793	0.0938291186087814	8e-16	1.00179e-12	4.3756e-13	0	1	E			Active_CTCF_pos	E			Active_CTCF_pos	1.41606569290161	1.94121360778809	2.80891799926758	2.54821157455444	3.26095771789551
chr11	79730000	79740000	chr11	79920000	79930000	80	506	123.5	570	ND	LD	0	1	0	1	18	0.0608502669765643	36	2.564779121e-08	-7.79544168442572	-0.26289659735446	9.30401e-12	6.39876666e-09	2.87180874e-09	0	1	E			Active_CTCF_pos	S				6.34560918807983	6.61629724502564	3.23039531707764	5.53955984115601	7.07785081863403
chr11	79760000	79770000	chr11	79790000	79800000	59.5	246.5	87	397.5	LD	ND	0	1	31	0.994929231029963	71	0.00110664870380079	58	0.0104868960257467	-2.2002683335171	1.17716524913915	1.380089595e-08	5.11880925532e-06	2.30263834054e-06	0	1	S				E			Active_CTCF_pos	1.48874449729919	2.31193161010742	3.1015157699585	3.13193440437317	3.83985447883606
chr11	79760000	79770000	chr11	79920000	79930000	59.5	506	87	570	LD	LD	0	1	17	0.515501519870973	33	9.25146342015e-05	29	0.00366099516641605	-1.99640871175627	0.220838470353603	0.00034881027391388	0.0319991415173142	0.0139900708153615	0	2	S				S				4.35947942733765	3.30712723731995	2.9736795425415	6.62125825881958	6.27935361862183
chr11	80870000	80880000	chr11	81150000	81160000	349	94	408.5	273.5	ND	HD	0	1	9	0.994929231029963	19	0.0282874609445147	25	1.976406496664e-05	-2.38436506012917	-0.29561167351943	0.00073444702619529	0.0570698857699738	0.0256445819994479	0	1	S				P	Asic2	CTCF_pos		2.1993715763092	3.76709842681885	3.12385439872742	10.453031539917	8.28090286254883
chr11	81580000	81590000	chr11	81610000	81620000	373	408	634	536.5	LD	LD	95	0.135619035780019	111	0.275161536940637	320	0	221	1.9e-15	-1.50764916860768	3.35296350906479	3.6e-16	4.7653e-13	2.1712e-13	0	2	P	Gm11418	CTCF_pos		E			Active_CTCF_pos	6.25880336761475	9.09009456634521	7.1898775100708	10.5253534317017	14.932767868042
chr11	81580000	81590000	chr11	81980000	81990000	373	336	634	496.5	LD	LD	18	0.0522665648334441	26	0.00434746786763678	57	0	59	0	-1.50122200423461	1.17217067198773	6.893599833231e-05	0.00851044996354828	0.00372919115855673	1	2	P	Gm11418	CTCF_pos		P	Gm11419	CTCF_pos		10.8895864486694	8.86543941497803	8.58856105804443	17.3801155090332	29.4829998016357
chr11	81590000	81600000	chr11	81610000	81620000	168.5	408	366	536.5	LD	LD	64	0.381045893604513	84	0.505513739899509	241	2.994e-14	160	1.01400333607e-06	-1.55647246976487	2.91453342088154	2.3376e-13	2.0602025e-10	9.370081e-11	0	2	S				E			Active_CTCF_pos	3.17133116722107	2.85652303695679	3.10301852226257	4.57354593276978	8.6165132522583
chr11	81590000	81600000	chr11	81830000	81840000	168.5	57	366	91	LD	LD	0	1	6	0.994929231029963	21	0.00803750550844426	15	0.274205998403824	-2.67337117824989	-0.569252006678001	0.00090655598400827	0.0670438531870558	0.0293400290236511	0	1	S				S				1.01371586322784	2.2262282371521	1.55521750450134	2.86886954307556	4.54828834533691
chr11	81590000	81600000	chr11	81980000	81990000	168.5	336	366	496.5	LD	LD	3	1	11	0.895759750749454	27	3.146667665903e-05	35	4.16360596e-09	-2.24154853300907	0.169608895454872	0.00010647718640708	0.0121647620394167	0.00531917608663499	0	2	S				P	Gm11419	CTCF_pos		3.36661529541016	5.33037710189819	8.05577945709229	8.96495628356934	16.4439525604248
chr11	81610000	81620000	chr11	81980000	81990000	408	336	536.5	496.5	LD	LD	8	1	12	0.994929231029963	36	2.8144829e-10	26	0.00015497838264914	-1.73743059737477	0.279332779353821	0.0012696043941001	0.0868103208342844	0.0388843121652411	0	2	E			Active_CTCF_pos	P	Gm11419	CTCF_pos		4.52985620498657	8.48812675476074	5.84154558181763	12.2136125564575	13.9140405654907
chr11	81630000	81640000	chr11	81760000	81770000	452	89.5	647	314	LD	HD	0	1	18	0.994929231029963	73	2.001e-14	57	5.36050797e-09	-2.98160157974098	1.08154993762114	1.36738e-12	1.07023908e-09	4.8059875e-10	0	2	E			Active_CTCF_pos	S				2.42309737205505	4.16226863861084	5.7958836555481	7.00537967681885	10.2880811691284
chr11	81630000	81640000	chr11	81970000	81980000	452	258.5	647	555.5	LD	LD	9	0.63244182068637	20	0.00867422468470287	68	0	52	0	-2.16442289725246	1.08694125149982	6.713375082e-08	2.129747688801e-05	9.57331571869e-06	1	2	E			Active_CTCF_pos	E			Active_CTCF_pos	5.98417282104492	5.95722913742065	15.542272567749	20.9647674560547	25.8188667297363
chr11	81630000	81640000	chr11	81980000	81990000	452	336	647	496.5	LD	LD	12	1	36	6.60861244939e-06	75	0	55	1.3e-16	-1.5667496351793	1.32255295815944	1.147479256271e-05	0.0019024653441921	0.00085431050088857	1	2	E			Active_CTCF_pos	P	Gm11419	CTCF_pos		10.2106437683105	17.446720123291	11.8549222946167	25.9572410583496	27.2869815826416
chr11	81630000	81640000	chr11	81990000	82000000	452	501.5	647	649.5	LD	LD	7	1	19	0.176381548726712	38	5.0063542e-10	44	4.33406e-12	-1.76409323859087	0.634191435434404	0.00015616691147086	0.0166912552978992	0.00757644161723814	0	2	E			Active_CTCF_pos	E			Active_CTCF_pos	5.69800281524658	8.96142578125	7.08007860183716	20.0896301269531	19.646577835083
chr11	81640000	81650000	chr11	81760000	81770000	185	89.5	270.5	314	LD	HD	0	1	13	0.718874538318915	36	3.805503097971e-05	39	1.6414316804e-07	-2.64006213921297	0.367443077487429	1.27878537865e-06	0.00028668316004507	0.00012136710120709	0	2	S				S				1.30264604091644	1.40286374092102	3.15390944480896	6.50946044921875	5.69383478164673
chr11	81640000	81650000	chr11	81770000	81780000	185	72	270.5	213	LD	HD	0	1	11	0.993368454991815	28	0.00786941898367724	27	0.00439508660411913	-2.43282556808616	-0.00924964450746631	0.0001106606790631	0.0125429496383209	0.00571024009436691	0	2	S				S				1.21154868602753	2.37843918800354	5.055983543396	5.60430335998535	4.54841470718384
chr11	81640000	81650000	chr11	81970000	81980000	185	258.5	270.5	555.5	LD	LD	2	1	14	0.02776838260642	27	1.289638714e-08	39	1.7e-16	-2.14706038602101	0.264410604929355	0.00010291888571126	0.0118331874520675	0.00536827828354553	0	2	S				E			Active_CTCF_pos	3.19216132164001	2.0431694984436	11.2035083770752	12.7881593704224	15.5251302719116
chr11	81640000	81650000	chr11	81980000	81990000	185	336	270.5	496.5	LD	LD	6	1	18	0.0607325243078942	46	1e-17	44	1.86e-15	-2.01903733304184	0.713998166937195	1.050550520756e-05	0.0017650076509629	0.0007706771120034	0	2	S				P	Gm11419	CTCF_pos		4.95241928100586	7.00850486755371	18.2219753265381	15.5081844329834	20.2664222717285
chr11	81640000	81650000	chr11	82170000	82180000	185	756.5	270.5	1046	LD	ND	14	0.00094628395067799	28	6.4119678e-10	49	0	49	0	-1.33377678609647	0.984936603254392	0.00091445246834725	0.0675152882325472	0.0295525848622652	2	2	S				P	Ccl1	CTCF_pos		14.7724561691284	22.3747482299805	18.208366394043	25.0314617156982	40.2666091918945
chr11	81670000	81680000	chr11	81760000	81770000	159	89.5	331.5	314	LD	HD	0	1	13	0.994929231029963	54	5.591086537e-08	46	1.7883203674e-06	-3.05947769046927	0.712520220332503	3.4238339e-10	1.7823018884e-07	8.009365883e-08	0	2	S				S				1.33613300323486	2.08671832084656	5.7844500541687	5.67725419998169	6.29644680023193
chr11	81670000	81680000	chr11	81770000	81780000	159	72	331.5	213	LD	HD	0	1	8	0.994929231029963	47	3.4579676157e-06	34	0.0054169868223674	-3.43795225381072	0.3994488708264	1.54247027e-09	7.1014433189e-07	3.097042752e-07	0	2	S				S				0.646875023841858	1.24386715888977	2.82270765304565	3.55095601081848	5.35471391677856
chr11	81670000	81680000	chr11	81970000	81980000	159	258.5	331.5	555.5	LD	LD	3	1	7	0.994929231029963	34	5.204605e-11	35	5.815089e-11	-2.86819757097326	0.232332779146328	1.00589880051e-06	0.00023219623935652	0.00010574719206777	0	2	S				E			Active_CTCF_pos	1.81485307216644	3.096107006073	10.0209484100342	14.1734981536865	12.0736255645752
chr11	81670000	81680000	chr11	81980000	81990000	159	336	331.5	496.5	LD	LD	3	1	7	0.994929231029963	43	5.11815e-12	47	5.819e-14	-3.24805825393867	0.546812102369473	7.7177595e-10	3.7646146893e-07	1.7139735085e-07	0	2	S				P	Gm11419	CTCF_pos		1.87481665611267	8.90660667419434	6.8797345161438	11.4967756271362	17.524528503418
chr11	81670000	81680000	chr11	81990000	82000000	159	501.5	331.5	649.5	LD	LD	2	1	10	0.994929231029963	20	0.0156272507088955	27	9.321415781098e-05	-2.0640499791701	-0.161064099545308	0.00164889979588045	0.106698935506526	0.0466861429819044	0	1	S				E			Active_CTCF_pos	2.32960629463196	4.94661283493042	6.3184700012207	8.64251232147217	10.1163520812988
chr11	81690000	81700000	chr11	81980000	81990000	86	336	164.5	496.5	LD	LD	0	1	12	0.759782023041088	26	1.048535671745e-05	24	0.00010701345995608	-2.17601660391768	-0.0921252161630199	0.00068885591491522	0.0543136014723296	0.0243262252930974	0	2	S				P	Gm11419	CTCF_pos		3.15236949920654	5.38103151321411	4.15337371826172	7.59830951690674	9.08327102661133
chr11	81760000	81770000	chr11	81970000	81980000	89.5	258.5	314	555.5	HD	LD	0	1	5	0.994929231029963	43	1.475e-14	41	5.1995e-13	-4.12679778271731	0.397223213881506	7.61845e-12	5.28645768e-09	2.22049352e-09	0	2	S				E			Active_CTCF_pos	0.769119262695313	2.61980247497559	6.61951684951782	8.57123565673828	11.4337520599365
chr11	81760000	81770000	chr11	81980000	81990000	89.5	336	314	496.5	HD	LD	0	1	14	0.777497512659762	58	6e-17	47	4.733294e-11	-3.02710657294787	0.78345807126756	1.5771859e-10	8.758827085e-08	3.934978225e-08	0	2	S				P	Gm11419	CTCF_pos		2.80575466156006	2.04983520507813	8.30245208740234	8.35379981994629	14.0106706619263
chr11	81760000	81770000	chr11	81990000	82000000	89.5	501.5	314	649.5	HD	LD	0	1	8	0.994929231029963	27	0.00086538211762682	24	0.0134512794119832	-2.76962779012601	-0.147795124743759	4.800125907159e-05	0.00631482235616124	0.00282888838774015	0	1	S				E			Active_CTCF_pos	1.80889284610748	1.42345321178436	3.54991555213928	4.53541374206543	6.6851372718811
chr11	81760000	81770000	chr11	82170000	82180000	89.5	756.5	314	1046	HD	ND	0	1	17	0.00343883002829245	53	0	33	2.649006e-11	-2.47512494748352	0.587719015942926	5.0378417459e-07	0.00012734068601867	5.712700829412e-05	1	2	S				P	Ccl1	CTCF_pos		6.35666561126709	6.09183502197266	12.4418687820435	16.4976596832275	21.7295417785645
chr11	81770000	81780000	chr11	81970000	81980000	72	258.5	213	555.5	HD	LD	0	1	9	0.80488825267574	44	3.337e-14	38	2.5988067e-10	-3.28729899699555	0.423633522981792	3.59545803e-09	1.52761148635e-06	6.6750548729e-07	0	2	S				E			Active_CTCF_pos	1.10163831710815	1.88360381126404	3.67827320098877	8.93747329711914	10.0745420455933
chr11	81770000	81780000	chr11	81980000	81990000	72	336	213	496.5	HD	LD	0	1	11	0.994929231029963	54	3.3054e-13	36	3.784476422284e-05	-3.14877266604212	0.567863790717761	1.31221693e-09	6.1202487636e-07	2.5735872637e-07	0	2	S				P	Gm11419	CTCF_pos		2.82010412216187	2.40148568153381	3.83235168457031	10.9420032501221	11.4337520599365
chr11	81770000	81780000	chr11	81990000	82000000	72	501.5	213	649.5	HD	LD	0	1	8	0.994929231029963	28	0.00112271687574954	35	2.99378134674e-06	-3.06245111996197	0.0863192646055302	1.23640388654e-06	0.00027808851060448	0.00011792199449659	0	2	S				E			Active_CTCF_pos	1.87050306797028	1.1387974023819	3.42927384376526	9.68281269073486	8.821533203125
chr11	81770000	81780000	chr11	82170000	82180000	72	756.5	213	1046	HD	ND	0	1	23	5.11717874267e-06	40	5e-17	38	3.429e-14	-1.89642620379813	0.543603687583226	9.588667654866e-05	0.0111509688059047	0.00500637698494886	1	2	S				P	Ccl1	CTCF_pos		8.1671895980835	4.64380168914795	7.63427639007568	21.4695529937744	22.7052993774414
chr11	81790000	81800000	chr11	81970000	81980000	55.5	258.5	74.5	555.5	ND	LD	0	1	13	0.236978480512435	27	2.125347871908e-05	22	0.00194956056273538	-2.03846250829182	-0.0916688196106241	0.00135419961841183	0.091140086258724	0.0408788432597522	0	2	S				E			Active_CTCF_pos	1.78834748268127	1.53340590000153	4.63373517990112	4.99314880371094	6.01010990142822
chr11	81790000	81800000	chr11	81980000	81990000	55.5	336	74.5	496.5	ND	LD	0	1	16	0.886099804998156	35	5.324902602531e-05	29	0.00170102762597207	-2.12891572811539	0.240575874454327	0.00013460062591922	0.014706943468144	0.00660075313629216	0	2	S				P	Gm11419	CTCF_pos		3.40782713890076	2.80691385269165	3.55343461036682	5.03596353530884	6.47548055648804
chr11	81790000	81800000	chr11	81990000	82000000	55.5	501.5	74.5	649.5	ND	LD	0	1	10	0.994929231029963	21	0.0698536787242702	35	2.0677669211e-07	-2.57630029360813	-0.0188206226199012	5.306501469846e-05	0.00687009112562188	0.00308920999700539	0	1	S				E			Active_CTCF_pos	2.08087229728699	2.72076106071472	2.84230208396912	2.97915768623352	6.45400333404541
chr11	81790000	81800000	chr11	82170000	82180000	55.5	756.5	74.5	1046	ND	ND	0	1	15	0.0629723319162829	26	9.258541411e-08	30	1.00616044e-09	-2.01909520282273	0.0762705093080048	0.0006686442563339	0.0529677926714225	0.0233355594480925	0	2	S				P	Ccl1	CTCF_pos		6.05754375457764	5.56479263305664	5.73514461517334	14.541919708252	14.9891633987427
chr11	81830000	81840000	chr11	81980000	81990000	57	336	91	496.5	LD	LD	0	1	23	0.3952404698925	36	0.00488758572736516	35	0.00357520364680905	-1.76092087185014	0.444926220193999	0.00046509906719273	0.0397029055393515	0.0170010930215173	0	2	S				P	Gm11419	CTCF_pos		3.18726325035095	1.98705244064331	3.92241477966309	2.3901994228363	6.69814968109131
chr11	81840000	81850000	chr11	81980000	81990000	79	336	120	496.5	LD	LD	0	1	15	0.994929231029963	37	0.00124406884868914	32	0.0112396873351486	-2.3262547047798	0.306840328271015	2.22400001275e-05	0.00329618515818289	0.00144451342239516	0	1	S				P	Gm11419	CTCF_pos		1.64907121658325	2.04401350021362	2.07026553153992	5.09897184371948	6.22027921676636
chr11	81840000	81850000	chr11	82230000	82240000	79	339	120	395.5	LD	LD	0	1	1	1	14	0.00340522111050983	5	0.99548443157754	-4.06903898499331	-1.39569619645493	0.00131025504588949	0.0888528855675701	0.0403190365536353	0	1	S				S				0.4809450507164	NA	1.85902607440948	4.31646060943604	4.60430669784546
chr11	81980000	81990000	chr11	82070000	82080000	336	101	496.5	261	LD	LD	40	0.0213285235562613	34	0.994929231029963	92	0.00977573783526774	73	0.00484450123729711	-1.25651707768634	1.73552322085734	3.598599904579e-05	0.00498999262094361	0.0022385328972689	0	2	P	Gm11419	CTCF_pos		S				4.94369220733643	5.79643964767456	7.05898952484131	7.70484495162964	9.85891056060791
chr11	81990000	82000000	chr11	82040000	82050000	501.5	266	649.5	383.5	LD	LD	73	0.0132802786341889	74	0.0259608978704005	177	0	169	0	-1.33516675354174	2.75252717849871	1.779039e-09	8.0484690115e-07	3.6125864607e-07	0	2	E			Active_CTCF_pos	P	Ccl7	CTCF_pos		6.55655384063721	6.68863916397095	5.53519058227539	10.1321105957031	14.6057891845703
chr11	81990000	82000000	chr11	82070000	82080000	501.5	101	649.5	261	LD	LD	41	0.00618346787809596	42	0.0788572165951606	135	2.4e-16	123	0	-1.73657175545148	2.23673331156746	4.895217e-11	2.966491887e-08	1.350346587e-08	1	2	E			Active_CTCF_pos	S				5.12095069885254	5.25802183151245	7.55797386169434	12.3744735717773	15.4922027587891
chr11	81990000	82000000	chr11	82080000	82090000	501.5	142	649.5	152.5	LD	LD	30	0.0053033112425577	17	0.994929231029963	61	1.233849503e-08	50	7.98507526859e-06	-1.32700849952187	1.16463099990684	0.00042113510301967	0.0371312864295761	0.0162168300939579	1	2	E			Active_CTCF_pos	S				3.13991260528564	5.21679592132568	5.29424238204956	6.69104957580566	7.1249270439148
chr11	82030000	82040000	chr11	82170000	82180000	91.5	756.5	206.5	1046	LD	ND	42	1.12864401828e-06	66	2.52e-15	103	0	108	0	-1.07523644148378	2.12668171773909	5.916033779356e-05	0.00749449196994594	0.00340408367771034	2	2	P	Gm17268,Ccl2	CTCF_pos		P	Ccl1	CTCF_pos		9.89442729949951	7.38989543914795	10.8688945770264	14.4918146133423	18.5456466674805
chr11	82040000	82050000	chr11	82170000	82180000	266	756.5	383.5	1046	LD	ND	109	0	111	0	288	3.85321322055926e-109	223	0	-1.32316833933814	3.31793496440246	1.14158e-12	9.074259e-10	3.9639323e-10	2	2	P	Ccl7	CTCF_pos		P	Ccl1	CTCF_pos		19.0386219024658	19.0275135040283	20.4705677032471	25.8562183380127	41.2606201171875
chr11	82070000	82080000	chr11	82170000	82180000	101	756.5	261	1046	LD	ND	60	4.38892765452e-06	59	0.00402672545306091	277	0	185	0	-2.06648373246963	3.00413282886135	0	0	0	2	2	S				P	Ccl1	CTCF_pos		8.48125076293945	7.58758926391602	9.30448055267334	15.3874759674072	29.9863986968994
chr11	82080000	82090000	chr11	82170000	82180000	142	756.5	152.5	1046	LD	ND	31	0.277966940648002	45	0.0195727509262681	85	6.22779e-11	83	6.8179e-13	-1.25209593869746	1.75547245847798	3.393996675546e-05	0.00471400328503134	0.00205988855262787	0	2	S				P	Ccl1	CTCF_pos		5.07730531692505	7.76722955703735	4.50991010665894	7.70484495162964	11.2673263549805
chr11	83440000	83450000	chr11	83640000	83650000	1098.5	79	1297.5	177.5	ND	HD	0	1	0	1	27	0.00168465661407187	19	0.376700661383796	-7.5940355307847	-0.440327554980027	3.7124191e-10	1.9232456854e-07	8.633045997e-08	0	1	P	1700020L24Rik	CTCF_pos		P	Rpl9-ps1,Ccl3	CTCF_pos		4.773766040802	5.44152212142944	3.17669034004211	3.68013596534729	5.50951528549194
chr11	83550000	83560000	chr11	83620000	83630000	321.5	58.5	371.5	109.5	ND	ND	0	1	0	1	19	0.252777815509041	29	0.00141016477336977	-7.63357544975815	-0.404749293053951	1.8565538e-10	1.0135325137e-07	4.612168684e-08	0	1	E			Active_CTCF_pos	P	E230016K23Rik	CTCF_pos		1.34794390201569	2.44459128379822	1.50759482383728	2.0914626121521	2.64263653755188
chr11	83550000	83560000	chr11	83630000	83640000	321.5	331	371.5	604	ND	LD	13	0.354392725792698	13	0.479453684007043	53	2.07e-15	59	4.1e-16	-2.19289774341332	0.977591387529843	1.6345859743e-07	4.662103946322e-05	2.097023674061e-05	0	2	E			Active_CTCF_pos	E			Active_CTCF_pos	1.60415315628052	3.11189031600952	1.18377912044525	3.77846527099609	6.94478034973145
chr11	83550000	83560000	chr11	83640000	83650000	321.5	79	371.5	177.5	ND	HD	0	1	0	1	32	6.572656079e-08	34	1.613744209e-08	-8.10114203452932	0.00865438542753943	9.87e-15	1.055405e-11	4.43756e-12	0	2	E			Active_CTCF_pos	P	Rpl9-ps1,Ccl3	CTCF_pos		2.07100605964661	1.39114558696747	1.76474738121033	2.94000649452209	3.97670340538025
chr11	83570000	83580000	chr11	83620000	83630000	134.5	58.5	182.5	109.5	ND	ND	0	1	0	1	30	0.0581994269781458	37	0.00289046874378877	-8.11846890675089	0.0244558252449892	6.3e-15	6.96469e-12	2.93039e-12	0	1	P	Ccl9	CTCF_pos		P	E230016K23Rik	CTCF_pos		1.69489145278931	2.17769646644592	2.29507899284363	2.8541157245636	2.88783669471741
chr11	83570000	83580000	chr11	83630000	83640000	134.5	331	182.5	604	ND	LD	11	1	7	1	66	1.09e-15	68	4.351e-14	-2.96923732901706	1.11920095242928	8.72e-13	7.0393247e-10	3.2026716e-10	0	2	P	Ccl9	CTCF_pos		E			Active_CTCF_pos	0.910327911376953	1.58826565742493	1.06283378601074	2.4685800075531	6.33378314971924
chr11	83580000	83590000	chr11	83630000	83640000	104	331	124.5	604	LD	LD	10	1	11	0.994929231029963	29	0.0306145750771667	37	0.00177144836896159	-1.73510724706565	0.348299632624266	0.00092721291902821	0.0683455049482664	0.0309460440283829	0	1	P	E230016K23Rik,Ccl6	CTCF_pos		E			Active_CTCF_pos	0.936650574207306	1.78882217407227	2.09257197380066	3.35358595848084	3.16551327705383
chr11	83590000	83600000	chr11	83620000	83630000	146.5	58.5	190	109.5	LD	ND	0	1	0	1	40	0.00019913068803784	24	0.946275322617618	-8.07297775264142	-0.0173805565308954	2.042e-14	2.096258e-11	9.54934e-12	0	1	P	Ccl6	CTCF_pos		P	E230016K23Rik	CTCF_pos		0.759563505649567	1.20850968360901	1.08083117008209	0.872834205627441	1.70660197734833
chr11	83600000	83610000	chr11	83630000	83640000	127.5	331	111	604	LD	LD	20	0.879470239567422	19	0.994929231029963	51	0.00034476405181473	46	0.026438772633841	-1.41038907034392	0.954158102350168	0.00055142913218613	0.0452339368047735	0.0203869206450886	0	1	S				E			Active_CTCF_pos	1.18491911888123	2.25938773155212	1.26880192756653	1.43760919570923	2.79262161254883
chr11	83620000	83630000	chr11	83730000	83740000	58.5	586.5	109.5	582.5	ND	LD	0	1	0	1	37	1.076209556307e-05	37	0.00018785480418782	-8.26739827255644	0.1593078953312	1e-16	1.4077e-13	6.152e-14	0	2	P	E230016K23Rik	CTCF_pos		E			Active_CTCF_pos	3.14493250846863	3.71615791320801	1.87995719909668	3.98838114738464	5.52841424942017
chr11	83630000	83640000	chr11	83730000	83740000	331	586.5	604	582.5	LD	LD	22	0.0749998183425378	12	0.994929231029963	47	8.8533694553e-07	65	1.189193e-11	-1.78887224722466	1.04988253029412	7.68659446707e-06	0.00134814378027214	0.00060547874097902	0	2	E			Active_CTCF_pos	E			Active_CTCF_pos	2.44375014305115	2.48773431777954	2.40452885627747	5.0574221611023	7.67509031295776
chr11	84420000	84430000	chr11	84580000	84590000	361	51.5	391	63.5	LD	ND	0	1	0	1	26	0.00881680729961874	13	0.99548443157754	-7.36581933706749	-0.636158665521419	1.046586644e-08	4.01138074325e-06	1.69428962299e-06	0	1	S				S				3.54841351509094	6.09207630157471	4.38971710205078	3.23705959320068	3.20375180244446
chr11	84560000	84570000	chr11	84790000	84800000	37	763	71.5	868	HD	LD	0	1	0	1	36	2.88320438636e-06	40	6.0318189975e-07	-8.30269056134491	0.191612244154168	3e-17	5.095e-14	2.148e-14	0	2	E			Active_CTCF_pos	S				13.7754144668579	9.25244617462158	6.72615575790405	14.9865846633911	11.5634813308716
chr11	84560000	84570000	chr11	84810000	84820000	37	1255.5	71.5	1394	HD	LD	0	1	0	1	27	0.0089106489484146	34	0.00010592596446209	-7.98305529299375	-0.0971299794559598	1.7171e-13	1.5453209e-10	7.032515e-11	0	2	E			Active_CTCF_pos	P	Mrm1	CTCF_pos		8.45400047302246	11.8437910079956	7.24719429016113	6.58840799331665	8.88712882995606
chr11	84580000	84590000	chr11	84720000	84730000	51.5	400.5	63.5	449.5	ND	LD	0	1	0	1	14	0.401047307954383	22	0.00858661858751261	-7.22041092464635	-0.75576291291073	6.174389139e-08	1.978152597735e-05	8.63840942894e-06	0	1	S				P	1700109G15Rik	CTCF_pos		2.93168210983276	1.41508638858795	3.36418175697327	4.15968751907349	3.45571064949036
chr11	84580000	84590000	chr11	84790000	84800000	51.5	763	63.5	868	ND	LD	0	1	0	1	34	4.045368418455e-05	36	2.278895533838e-05	-8.18583380873505	0.085218881215521	1.05e-15	1.28952e-12	5.795e-13	0	2	S				S				9.99855041503906	6.33118963241577	8.53569221496582	9.66543579101562	9.11386013031006
chr11	84580000	84590000	chr11	84810000	84820000	51.5	1255.5	63.5	1394	ND	LD	0	1	0	1	43	6.33325128e-09	32	0.00055495004789619	-8.29519975588331	0.184386929387073	4e-17	6.416e-14	2.802e-14	0	2	S				P	Mrm1	CTCF_pos		5.70496988296509	6.64278173446655	5.97880506515503	5.71856498718262	10.660083770752
chr11	85180000	85190000	chr11	85250000	85260000	730.5	91.5	784.5	98.5	LD	LD	0	1	87	6.534e-14	78	2.646042816e-08	79	5.595256e-11	-1.00420044654462	1.73403645453483	0.00087601286300203	0.0651036267456052	0.0292320431153166	1	2	E			Active_CTCF_pos	S				9.54793548583984	8.01825904846191	6.53291082382202	5.14151239395142	8.20608234405518
